Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
Nigeria,Market Average,Market Average,bread,01/01/2007,27.89,29.11,26.65,27.89,NGN
Nigeria,Market Average,Market Average,bread,01/02/2007,27.88,29.11,26.65,26.75,NGN
Nigeria,Market Average,Market Average,bread,01/03/2007,26.35,27.51,25.18,27.31,NGN
Nigeria,Market Average,Market Average,bread,01/04/2007,27.46,28.63,26.28,26.84,NGN
Nigeria,Market Average,Market Average,bread,01/05/2007,26.65,27.78,25.51,26.95,NGN
Nigeria,Market Average,Market Average,bread,01/06/2007,27.02,28.14,25.9,27.01,NGN
Nigeria,Market Average,Market Average,bread,01/07/2007,26.97,28.07,25.87,26.67,NGN
Nigeria,Market Average,Market Average,bread,01/08/2007,26.61,27.67,25.54,27.48,NGN
Nigeria,Market Average,Market Average,bread,01/09/2007,27.72,28.81,26.63,28.47,NGN
Nigeria,Market Average,Market Average,bread,01/10/2007,28.91,30.27,27.8,30.27,NGN
Nigeria,Market Average,Market Average,bread,01/11/2007,31.05,32.24,29.87,30.57,NGN
Nigeria,Market Average,Market Average,bread,01/12/2007,30.87,32.04,29.71,30.3,NGN
Nigeria,Market Average,Market Average,bread,01/01/2008,30.3,31.45,29.16,30.82,NGN
Nigeria,Market Average,Market Average,bread,01/02/2008,31,32.14,29.86,32,NGN
Nigeria,Market Average,Market Average,bread,01/03/2008,32.48,33.66,31.3,31.39,NGN
Nigeria,Market Average,Market Average,bread,01/04/2008,31.27,32.42,30.13,30.68,NGN
Nigeria,Market Average,Market Average,bread,01/05/2008,30.45,31.54,29.35,31.11,NGN
Nigeria,Market Average,Market Average,bread,01/06/2008,31.19,32.29,30.09,31.95,NGN
Nigeria,Market Average,Market Average,bread,01/07/2008,32.28,33.39,31.17,31.25,NGN
Nigeria,Market Average,Market Average,bread,01/08/2008,31.05,32.13,29.97,32.02,NGN
Nigeria,Market Average,Market Average,bread,01/09/2008,32.32,33.42,31.22,33.33,NGN
Nigeria,Market Average,Market Average,bread,01/10/2008,33.82,34.96,32.69,32.78,NGN
Nigeria,Market Average,Market Average,bread,01/11/2008,32.74,33.84,28.92,28.92,NGN
Nigeria,Market Average,Market Average,bread,01/12/2008,27.67,28.81,26.53,28.58,NGN
Nigeria,Market Average,Market Average,bread,01/01/2009,28.25,29.28,27.21,28.99,NGN
Nigeria,Market Average,Market Average,bread,01/02/2009,28.93,30.3,27.86,30.3,NGN
Nigeria,Market Average,Market Average,bread,01/03/2009,30.88,31.98,29.77,29.85,NGN
Nigeria,Market Average,Market Average,bread,01/04/2009,29.72,30.8,28.63,29.27,NGN
Nigeria,Market Average,Market Average,bread,01/05/2009,29.15,30.19,28.11,29.27,NGN
Nigeria,Market Average,Market Average,bread,01/06/2009,29.14,30.16,26.85,26.85,NGN
Nigeria,Market Average,Market Average,bread,01/07/2009,26.09,29.33,25.09,29.33,NGN
Nigeria,Market Average,Market Average,bread,01/08/2009,30.1,31.32,28.88,29.75,NGN
Nigeria,Market Average,Market Average,bread,01/09/2009,30,31.15,28.25,28.25,NGN
Nigeria,Market Average,Market Average,bread,01/10/2009,27.89,29.03,26.75,27.14,NGN
Nigeria,Market Average,Market Average,bread,01/11/2009,26.62,27.68,25.57,26.84,NGN
Nigeria,Market Average,Market Average,bread,01/12/2009,26.66,27.69,25.62,26.73,NGN
Nigeria,Market Average,Market Average,bread,01/01/2010,26.59,27.6,25.59,26.32,NGN
Nigeria,Market Average,Market Average,bread,01/02/2010,26.18,27.15,25.13,25.13,NGN
Nigeria,Market Average,Market Average,bread,01/03/2010,24.66,25.59,23.73,25.25,NGN
Nigeria,Market Average,Market Average,bread,01/04/2010,25.23,26.14,24.32,26.04,NGN
Nigeria,Market Average,Market Average,bread,01/05/2010,26.26,27.2,25.18,25.18,NGN
Nigeria,Market Average,Market Average,bread,01/06/2010,24.96,26.48,24.06,26.48,NGN
Nigeria,Market Average,Market Average,bread,01/07/2010,26.93,27.91,25.07,25.07,NGN
Nigeria,Market Average,Market Average,bread,01/08/2010,24.64,25.58,23.27,23.27,NGN
